"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ea_phys,examens_et_analyses," ",radio,"Examen physique","1, Normal | 2, Autre",,,,,,,,,,,,
ea_phys_desc,examens_et_analyses,,notes,Décrire,,,,,,,"[ea_phys] = '2'",,LH,,,,
ea_radio,examens_et_analyses," ",radio,"Radiographie pulmonaire","1, Non requise | 2, Normale | 3, Autre",,,,,,,,,,,,
ea_radio_desc,examens_et_analyses,,notes,Décrire,,,,,,,"[ea_radio] = '3'",,,,,,
ea_uri_crea,examens_et_analyses,,text,"Créatine urinaire",,,number,,,,,,,,,,
ea_cov_idnow,examens_et_analyses,"COVID 19",radio,"COVID 19 ID NOW","1, Négatif | 2, Positif | 3, Non-mesuré",,,,,,,,,,,,
ea_cov_pcr,examens_et_analyses,,radio,"PCR multiplex viral","1, Tous négatifs | 2, Positif pour: | 3, Non-effectué",,,,,,,,,,,,
ea_cov_pcr_pos,examens_et_analyses,,checkbox,Cochez,"1, Adénovirus | 2, Coronavirus HKU1 | 3, Coronavirus NL63 | 4, Coronavirus 229E | 5, CoronavirusOC43 | 6, SRAS-Co-V-2 | 7, Metapneumovirus Humain | 8, Rhinovirus/Enterovirus Humain | 9, Influenza A | 10, Influenza A/H1 | 11, Influenza A/H1-2009 | 12, Influenza B | 13, Virus para-influenza 1 | 14, Virus para-influenza 2 | 15, Virus para-influenza 3 | 16, Virus para-influenza 4 | 17, Virus respiratoire syncytial | 18, Bordetella parapertussis | 19, Bordetella pertussis | 20, Chlamydia pneumoniae | 21, Mycoplasma pneumoniae",,,,,,"[ea_cov_pcr] = '2'",,,,,,
ea_dec_eos,examens_et_analyses,"DÉCOMPTE ÉOSINOPHILIQUE SANGUIN MAXIMAL DES 12 DERNIERS MOIS",radio,"Décompte éosinophilique","0, Non, aucun de fait | 1, Oui",,,,,,,,,,,,
ea_dec_date,examens_et_analyses,,text,,,,date_ymd,,,,,,LH,,,,
ea_dec_val,examens_et_analyses,,text,,,,number,,,,,,LH,,,,
ea_dec_eos_tab,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 32.5872%; text-align: center;"">Date de la mesure {ea_dec_date}</td> <td style=""width: 32.5872%; text-align: center;"">éosophinophiles max (10<sup>9</sup>/L)</td> <td style=""width: 32.5888%; text-align: center;"">{ea_dec_val}</td> </tr> </tbody> </table></div>",,,,,,,"[ea_dec_eos] = '1'",,,,,,
ea_pds_h,examens_et_analyses,"ANALYSE SANGUINE

Laboratoire CHUS ",text,"Heure de la prise de sang",,,time,,,,,,,,,,
ea_olo_h,examens_et_analyses,,text,"Heure olo",,,time,,,,,,,,,,
ea_pds_fsc,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 55.4751%; height: 190px;"" border=""1""> <tbody> <tr> <td style=""width: 33.3645%; text-align: center;""> <p style=""text-align: center;"">Heure du prélèvement</p> <p style=""text-align: center;"">{ea_pds_h}</p> </td> <td style=""width: 33.3645%; text-align: center;""> <p style=""text-align: center;"">Valeur relative</p> <p style=""text-align: center;"">(0.000)</p> </td> <td style=""width: 33.3645%; text-align: center;"">10<sup>9</sup>/L</td> </tr> <tr> <td style=""width: 33.3645%;"">Globules blancs</td> <td style=""width: 33.3645%; text-align: center;""> </td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_gb_va}</td> </tr> <tr> <td style=""width: 33.3645%;"">Neutrophiles</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_neu_vr}</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_neu_va}</td> </tr> <tr> <td style=""width: 33.3645%;"">Lymphocytes</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_lym_vr}</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_lym_va}</td> </tr> <tr> <td style=""width: 33.3645%;"">Monocytes</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_mono_vr}</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_mono_va}</td> </tr> <tr> <td style=""width: 33.3645%;"">Éosinophiles</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_eos_vr}</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_eos_va}</td> </tr> <tr> <td style=""width: 33.3645%;"">Basophiles</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_baso_vr}</td> <td style=""width: 33.3645%; text-align: center;"">{ea_pds_baso_va}</td> </tr> <tr> <td style=""width: 100.094%; text-align: center;"" colspan=""3""><span style=""color: #ba372a;"">***Prioriser le décompte manuel***</span></td> </tr> </tbody> </table> <p style=""text-align: left;""> </p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 15.9318%; text-align: center;"">Protéine C-réactive</td> <td style=""width: 15.9318%; text-align: center;""> <p style=""text-align: center;"">mg/L</p> <p style=""text-align: center;"">{ea_pds_pcreac}</p> </td> <td style=""width: 15.9318%; text-align: center;"">Procalcitonine</td> <td style=""width: 15.9318%; text-align: center;""> <p style=""text-align: center;"">µg/L</p> <p style=""text-align: center;"">{ea_pds_pcal}</p> </td> <td style=""width: 15.9318%; text-align: center;"">IgE total</td> <td style=""width: 15.9334%;""> <p style=""text-align: center;"">UI/ml</p> <p style=""text-align: center;"">{ea_pds_ige}</p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ea_olo_fait,examens_et_analyses,"Avec Sight OLO<br><br> ",radio,"Test fait?","0, NON | 1, OUI",,,,,,,,LH,,,,
ea_olo_type,examens_et_analyses,,radio,"Type de prise de sang","1, Capillaire | 2, Veineux",,,,,,,,LH,,,,
ea_olo_rep,examens_et_analyses,,text,"Nombre de reprise pour obtention des résultats",,,integer,1,,,"[ea_olo_fait] = '1'",,LH,,,,
ea_olo_tab,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 23.4088%;"">Type de prise de sang</td> <td style=""width: 23.4088%;"">{ea_olo_type}</td> <td style=""width: 23.4088%;"">Nombre de reprise pour obtention des résultats</td> <td style=""width: 23.4088%;"">{ea_olo_rep}</td> </tr> </tbody> </table></div>",,,,,,,"[ea_olo_fait] = '1'",,,,,,
ea_olo_fsc,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 57.0283%; height: 127px;"" border=""1""> <tbody> <tr style=""height: 20.3333px;""> <td style=""width: 33.3344%; height: 20.3333px; text-align: center;""> <p style=""text-align: center;"">Heure du prélèvement</p> <p style=""text-align: center;"">{ea_olo_h}</p> </td> <td style=""width: 33.3344%; height: 20.3333px; text-align: center;""> <p style=""text-align: center;"">Valeur relative</p> <p style=""text-align: center;"">(0.000)</p> </td> <td style=""width: 33.3344%; height: 20.3333px; text-align: center;"">10<sup>9</sup>/L</td> </tr> <tr style=""height: 17.7778px;""> <td style=""width: 33.3344%; height: 17.7778px;"">Globules blancs</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;""> </td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_gb_va}</td> </tr> <tr style=""height: 17.7778px;""> <td style=""width: 33.3344%; height: 17.7778px;"">Neutrophiles</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_neu_vr}</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_neu_va}</td> </tr> <tr style=""height: 17.7778px;""> <td style=""width: 33.3344%; height: 17.7778px;"">Lymphocytes</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_lym_vr}</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_lym_va}</td> </tr> <tr style=""height: 17.7778px;""> <td style=""width: 33.3344%; height: 17.7778px;"">Monocytes</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_mono_vr}</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_mono_va}</td> </tr> <tr style=""height: 17.7778px;""> <td style=""width: 33.3344%; height: 17.7778px;"">Éosinophiles</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_eos_vr}</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_eos_va}</td> </tr> <tr style=""height: 17.7778px;""> <td style=""width: 33.3344%; height: 17.7778px;"">Basophiles</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_baso_vr}</td> <td style=""width: 33.3344%; height: 17.7778px; text-align: center;"">{ea_olo_baso_va}</td> </tr> </tbody> </table></div>",,,,,,,"[ea_olo_fait] = '1'",,,,,,
ea_uri_crea_score,examens_et_analyses," ",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 23.9151%; height: 37px;"" border=""1""> <tbody> <tr> <td style=""width: 50.002%; border-style: hidden;""> </td> <td style=""width: 50.002%; text-align: center; border-style: hidden;"">mmol/L</td> </tr> <tr> <td style=""width: 50.002%; border-style: hidden;"">Créatine urinaire</td> <td style=""width: 50.002%; text-align: center; border-style: hidden;"">{ea_uri_crea}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ea_pds_gb_va,examens_et_analyses,,text,"Globules blancs",,,number,,,,,,,,,,
ea_olo_gb_va,examens_et_analyses,,text,"Globules blancs",,,number,,,,,,,,,,
ea_pds_neu_vr,examens_et_analyses,,text,Neutrophiles,,,number,,,,,,,,,,
ea_exp_neu_pour,examens_et_analyses,,text,Neutrophiles,,,number,,,,,,,,,,
ea_olo_neu_vr,examens_et_analyses,,text,Neutrophiles,,,number,,,,,,,,,,
ea_pds_neu_va,examens_et_analyses,,text,Neutrophiles,,,number,,,,,,,,,,
ea_olo_neu_va,examens_et_analyses,,text,Neutrophiles,,,number,,,,,,,,,,
ea_pds_lym_vr,examens_et_analyses,,text,Lymphocytes,,,number,,,,,,,,,,
ea_exp_lym_pour,examens_et_analyses,,text,Lymphocytes,,,number,,,,,,,,,,
ea_olo_lym_vr,examens_et_analyses,,text,Lymphocytes,,,number,,,,,,,,,,
ea_pds_lym_va,examens_et_analyses,,text,Lymphocytes,,,number,,,,,,,,,,
ea_olo_lym_va,examens_et_analyses,,text,Lymphocytes,,,number,,,,,,,,,,
ea_pds_mono_vr,examens_et_analyses,,text,Monocytes,,,number,,,,,,,,,,
ea_olo_mono_vr,examens_et_analyses,,text,Monocytes,,,number,,,,,,,,,,
ea_pds_mono_va,examens_et_analyses,,text,Monocytes,,,number,,,,,,,,,,
ea_olo_mono_va,examens_et_analyses,,text,Monocytes,,,number,,,,,,,,,,
ea_pds_eos_vr,examens_et_analyses,,text,Éosinophiles,,,number,,,,,,,,,,
ea_exp_eos_pour,examens_et_analyses,,text,Éosinophiles,,,number,,,,,,,,,,
ea_olo_eos_vr,examens_et_analyses,,text,Éosinophiles,,,number,,,,,,,,,,
ea_pds_eos_va,examens_et_analyses,,text,Éosinophiles,,,number,,,,,,,,,,
ea_olo_eos_va,examens_et_analyses,,text,Éosinophiles,,,number,,,,,,,,,,
ea_pds_baso_vr,examens_et_analyses,,text,Basophiles,,,number,,,,,,,,,,
ea_olo_baso_vr,examens_et_analyses,,text,Basophiles,,,number,,,,,,,,,,
ea_pds_baso_va,examens_et_analyses,,text,Basophiles,,,number,,,,,,,,,,
ea_olo_baso_va,examens_et_analyses,,text,Basophiles,,,number,,,,,,,,,,
ea_pds_pcreac,examens_et_analyses,,text,"Protéine C-réactive sérique",,,number,,,,,,,,,,
ea_pds_pcal,examens_et_analyses,,text,Procalcitonine,,,number,,,,,,,,,,
ea_pds_ige,examens_et_analyses,,text,IgE,,,number,,,,,,,,,,
ea_feno_niox,examens_et_analyses,,text,Niox,,,number,,,,,,,,,,
ea_mes_feno,examens_et_analyses,"MESURE DE LA VALEUR  MAXIMALE DU FeNO DES 12 DERNIERS MOIS",radio,"Mesure du FeNO","0, Non, aucun de fait | 1, Oui",,,,,,,,,,,,
ea_mes_fdate,examens_et_analyses,,text,,,,date_ymd,,,,,,,,,,
ea_mes_fval,examens_et_analyses,,text,,,,number,,,,,,,,,,
ea_mes_ftab,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 32.5872%; text-align: center;"">Date de la mesure {ea_mes_fdate}</td> <td style=""width: 32.5872%; text-align: center;"">Valeur de maximale de FeNO (ppb)</td> <td style=""width: 32.5888%; text-align: center;"">{ea_mes_fval}</td> </tr> </tbody> </table></div>",,,,,,,"[ea_mes_feno] = '1'",,,,,,
ea_feno_h,examens_et_analyses,"Mesure du FeNO
",text,"Heure de la mesure du FeNO",,,time,,,,,,,,,,
ea_feno_score,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 57.6923%; height: 72px;"" border=""1""> <tbody> <tr style=""height: 17.6px;""> <td style=""height: 17.6px; width: 100.003%; text-align: left;"" colspan=""2"">Heure de la mesure {ea_feno_h}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 49.891%; height: 17.6px;"">Niox (ppb)</td> <td style=""width: 50.1118%; height: 17.6px; text-align: center;"">{ea_feno_niox}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ea_exp_macro_pour,examens_et_analyses,,text,Macrophage,,,number,,,,,,,,,,
ea_exp_via_pour,examens_et_analyses,,text,Viabilité,,,number,,,,,,,,,,
ea_exp_bronch_pour,examens_et_analyses,,text,"Cellules bronchiques",,,number,,,,,,,,,,
ea_exp_tcc,examens_et_analyses,,text,"Nombre de cellules total (TCC)",,,number,,,,,,,,,,
ea_exp_acn,examens_et_analyses,,text,"Nombre absolu de cellules (ACN)",,,number,,,,,,,,,,
ea_exp_contamin_pour,examens_et_analyses,,text,"Contamination cellules pavimenteuses",,,number,,,,,,,,,,
ea_exp_type,examens_et_analyses,,radio,"Type d'expectoration","1, Spontanée | 2, Induite",,,,,,,,RH,,,,
ea_exp_h,examens_et_analyses,"EXPECTORATION

Analyse au laboratoire de pneumologie

",text,"Heure du test",,,time,,,,,,,,,,
ea_exp_prod_v1,examens_et_analyses,,radio,"EXPECTORATION PRODUITE?","0, NON | 1, OUI",,,,,,,,LH,,,,
ea_exp_diff,examens_et_analyses,,descriptive,"<div class=""rich-text-field-label""><p>Type:     {ea_exp_type}</p> <p> </p> <table style=""border-collapse: collapse; width: 100%; height: 180.525px;"" border=""1""> <tbody> <tr style=""height: 26.525px;""> <td style=""width: 33.3114%; height: 26.525px;"">Différentiel cellulaire</td> <td style=""width: 33.3114%; height: 26.525px; text-align: center;"">%</td> <td style=""width: 16.6557%; height: 110.125px; text-align: center;"" rowspan=""4"">Nombre de cellule total (TCC)</td> <td style=""width: 16.6557%; height: 110.125px;"" rowspan=""4""> <p style=""text-align: center;""> </p> <p style=""text-align: center;"">{ea_exp_tcc} x 10<sup>6</sup></p> <p> </p> </td> </tr> <tr style=""height: 30.525px;""> <td style=""width: 33.3114%; height: 30.525px;"">Neutrophiles</td> <td style=""width: 33.3114%; height: 30.525px; text-align: center;"">{ea_exp_neu_pour}</td> </tr> <tr style=""height: 26.525px;""> <td style=""width: 33.3114%; height: 26.525px;"">Lymphocytes</td> <td style=""width: 33.3114%; height: 26.525px; text-align: center;"">{ea_exp_lym_pour}</td> </tr> <tr style=""height: 26.55px;""> <td style=""width: 33.3114%; height: 26.55px;"">Macrophages</td> <td style=""width: 33.3114%; height: 26.55px; text-align: center;"">{ea_exp_macro_pour}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 33.3114%; height: 17.6px;"">Éosinophiles</td> <td style=""width: 33.3114%; height: 17.6px; text-align: center;"">{ea_exp_eos_pour}</td> <td style=""width: 16.6557%; height: 70.4px; text-align: center;"" rowspan=""4"">Nombre absolu de cellules (ACN)</td> <td style=""height: 70.4px; width: 16.6557%; text-align: center;"" rowspan=""4"">{ea_exp_acn} x  10<sup>6</sup>/g de plug</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 33.3114%; height: 17.6px;"">Cellules bronchiques</td> <td style=""width: 33.3114%; height: 17.6px; text-align: center;"">{ea_exp_bronch_pour}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 33.3114%; height: 17.6px;"">Contamination de cellules pavimenteuses</td> <td style=""width: 33.3114%; height: 17.6px; text-align: center;"">{ea_exp_contamin_pour}</td> </tr> <tr style=""height: 17.6px;""> <td style=""width: 33.3114%; height: 17.6px;"">Viabilité</td> <td style=""width: 33.3114%; height: 17.6px; text-align: center;"">{ea_exp_via_pour}</td> </tr> </tbody> </table> <p style=""text-align: center;""> </p></div>",,,,,,,,,,,,,
ea_com_expecto,examens_et_analyses,,notes,"Commentaires expectoration",,,,,,,,,LH,,,,
ea_exp_micro,examens_et_analyses,"Analyse en microbiologie",radio,,"1, OUI | 0, NON",,,,,,,,LH,,,,
ea_exp_micro_pos,examens_et_analyses,,radio,"Culture positive?","1, OUI | 0, NON",,,,,,"[ea_exp_micro] = '1'",,LH,,,,
ea_exp_micro_res,examens_et_analyses,,notes,Résultats,,spécifiez,,,,,"[ea_exp_micro] = '1'",,LH,,,,
ea_ano,examens_et_analyses,"ANOMALIE CLINIQUEMENT SIGNIFICATIVE",radio,Anomalie,"0, NON | 1, OUI",,,,,,,,,,,,
ea_ano_comm,examens_et_analyses,,notes,"Suivi et notes au dossier",,,,,,,"[ea_ano] = '1'",,LH,,,,
ea_com,examens_et_analyses,"COMMENTAIRES À LA SECTION EXAMENS ET ANALYSES",notes,,,,,,,,,,LH,,,,
part_idprismav2,info_visite_2,,text,"ID PRISMA du participant",,,,,,,,,,,,,
v2_date,info_visite_2,,text,"DATE À LA VISITE 2",,,date_ymd,,,,,y,,,,,
v2_delai,info_visite_2,,calc,"Nombre de jours entre les visites 1 et 2 ","datediff([visite_1_arm_1][date_v1],[v2_date],""d"")",,,,,,,,,,,,
v2_diag,info_visite_2,,radio,"Est-ce que le diagnostic  d'asthme a changé depuis la visite 1?","1, OUI | 0, NON",,,,,,,,,,,,
v2_diag_com,info_visite_2,,notes,"Si oui, précisez",,,,,,,"[v2_diag] = '1'",,LH,,,,
v2_7jrspred,info_visite_2,"INFORMATIONS SUR LE TRAITEMENT DE PREDNISONE",radio,"Est-ce que le participant a complété les 7 jours de traitement de prednisone? ","1, OUI | 2, NON",,,,,,,,LH,,,,
v2_datepred,info_visite_2,,text,"Date de la dernière prise de prednisone",,,date_ymd,,,,,,,,,,
v2_pred_com,info_visite_2,,notes,Commentaires,,,,,,,,,LV,,,,
v2_pred_tab,info_visite_2,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 99.9717%;"" border=""1""> <tbody> <tr> <td style=""width: 24.9292%;"">Est-ce que le participant a complété les 7 jours de traitement de prednisone?</td> <td style=""width: 24.9292%; text-align: center;"">{v2_7jrspred}</td> <td style=""width: 24.9292%;"">Date de la dernière prise de prednisone</td> <td style=""width: 25.0708%; text-align: center;"">{v2_datepred}</td> </tr> <tr> <td style=""width: 99.8584%;"" colspan=""4""> <p style=""text-align: left;"">Commentaires: {v2_pred_com}</p> <p> </p> </td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
v2_antibio,info_visite_2," ANTIBIOTIQUE",radio,"Un antibiotique a-t-il été prescrit?","1, OUI | 0, NON",,,,,,,,LH,,,,
v2_antibio_tab,info_visite_2,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 23.4088%;"">Nom de l'antibiotique</td> <td style=""width: 23.4088%;"">{v2_antibio_nom}</td> <td style=""width: 23.4088%;"">Date de prise de la dernière dose</td> <td style=""width: 23.4088%;"">{v2_antibio_date}</td> </tr> </tbody> </table></div>",,,,,,,"[v2_antibio] = '1'",,,,,,
v2_effsec_1,info_visite_2,"EFFECTS SECONDAIRES DE LA PREDNISONE",radio,,"1, Aucun effet",,,,,,,,,,,,
v2_effsec_com1,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_2,info_visite_2,,radio,,"1, Acné",,,,,,,,,,,,
v2_effsec_g2,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,LV,,,,
v2_effsec_com2,info_visite_2,,notes,,,,,,,,,,LV,,,,
v2_effsec_3,info_visite_2,,radio,,"1, Appétit (variation)",,,,,,,,,,,,
v2_effsec_g3,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com3,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_4,info_visite_2,,radio,,"1, Céphalée",,,,,,,,,,,,
v2_effsec_g4,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com4,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_5,info_visite_2,,radio,,"1, Dyspepsie",,,,,,,,,,,,
v2_effsec_g5,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com5,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_6,info_visite_2,,radio,,"1, Hyperglycémie",,,,,,,,,,,,
v2_effsec_g6,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com6,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_7,info_visite_2,,radio,,"1, Hypertension",,,,,,,,,,,,
v2_effsec_g7,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com7,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_8,info_visite_2,,radio,,"1, Insomnie",,,,,,,,,,,,
v2_effsec_g8,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com8,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_9,info_visite_2,,radio,,"1, Tremblements",,,,,,,,,,,,
v2_effsec_g9,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com9,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_10,info_visite_2,,radio,,"1, Trouble de l'humeur",,,,,,,,,,,,
v2_effsec_g10,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com10,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_11,info_visite_2,,radio,,"1, Vision embrouillée",,,,,,,,,,,,
v2_effsec_g11,info_visite_2,,radio,,"1, GRADE 1: Symptômes Légers, sans ou peu d'impact sur la réalisation des activités. Aucune indication d'intervention. | 2, GRADE 2:  Symptômes Modérés, un peu plus d'impact sur la réalisation des activités. Intervention indiquée. | 3, GRADE 3: Symptômes Sévères, empêchent la réalisation des activités. Intervention ou hospitalisation indiquée. | 4, GRADE 4: Symptômes Très Sévères, potentiellement dangereux pour la vie, empêchant la réalisation des soins de base personnels. Intervention indiquée pour prévenir des dommages permanents/invalidités persistantes/ mort",,,,,,,,,,,,
v2_effsec_com11,info_visite_2,,notes,,,,,,,,,,LH,,,,
v2_effsec_12,info_visite_2,,radio,,"1, Autre",,,,,,,,,,,,
